time_res: 6.4e-05
Time taken to load models: 10.02s
Processing file: /hercules/results/atya/BinaryML/sims/runBF/dat_inf_files/obs6927BF.dat
Time taken to do fft and normalize: 1.28s
T_obs: 17.895697066666667
freq_res: 0.0009313225746154785
fft_size: 8388609
Number of signals found: 1286
Time taken for search: 30.28s

---------------------------------------------------------------------------
Index          f Value        period [ms]    z Value        Start Index    Confidence
112            28.713644      1.240404       14.275830      865610         340.726234     
113            27.758507      1.132009       4.893127       948500         338.817613     
114            27.993849      1.179200       19.814262      910540         338.732489     
115            27.180349      2.082319       5.654580       515620         338.389813     
116            27.251074      2.205727       19.448898      486770         336.158488     
117            28.310472      7.266879       9.929307       147730         335.555127     
118            21.871246      1.391377       20.829626      771690         334.997527     
119            27.889654      2.740970       6.782027       391710         333.519992     
120            26.198771      4.116695       15.582811      260800         332.319259     
121            27.132557      5.620298       0.894480       191020         331.058114     
122            27.480623      3.654452       21.411343      293790         330.928192     
123            25.594475      4.487469       9.350391       239250         330.564387     
124            28.544731      1.663508       8.678826       645440         329.268212     
125            32.284306      4.694727       11.840234      228680         328.747346     
126            26.542305      2.572166       18.532448      417420         328.479211     
127            27.968695      2.864626       15.907948      374800         328.129082     
128            26.361456      9.678026       18.686598      110920         326.623400     
129            27.701479      1.410558       8.092680       761190         326.175750     
130            26.591057      1.514816       21.631891      708800         325.881405     
131            27.923052      1.399235       10.800484      767350         324.020880     
132            30.193151      2.284751       13.125553      469930         323.321477     
133            28.806166      1.038738       9.880405       1033670        321.712600     
134            27.335508      1.981193       14.160507      541940         320.365915     
135            26.938076      1.807625       12.878040      593980         320.280452     
136            29.377291      6.797582       9.659595       157930         320.139818     
137            28.669481      1.254227       18.857826      856070         320.051900     
138            25.294098      1.021041       13.096276      1051590        317.443976     
139            28.063477      1.346557       18.848274      797370         316.115192     
140            25.073223      1.100061       20.487326      976050         314.050794     
141            28.919077      1.256590       8.849731       854460         313.937007     
142            30.128263      2.071900       3.811164       518210         312.255319     
143            24.968863      1.558553       18.636242      688910         312.226928     
144            25.593668      2.034968       13.329000      527620         311.517008     
145            25.995365      1.823220       20.426315      588900         311.023247     
146            26.749250      1.646447       14.164207      652130         308.515729     
147            26.684483      2.217345       6.187532       484220         307.049515     
148            26.754223      1.041490       18.839783      1030940        305.013420     
149            26.306097      7.324980       19.891964      146560         305.005910     
150            26.499979      17.299861      11.006057      62040          301.165898     
151            27.618956      1.110008       12.376059      967300         301.085625     
152            26.266453      5.434019       10.760425      197570         300.202763     
153            26.074518      2.410162       3.868939       445480         300.165614     
154            25.437431      1.015440       13.516852      1057390        299.621192     
155            25.499275      1.064623       7.738477       1008540        299.227354     
156            26.639280      2.143725       15.539839      500850         297.864077     
157            31.398653      1.363168       11.216932      787650         297.650987     
158            29.029282      1.134915       15.066655      946070         297.592897     
159            28.816046      1.254095       4.770479       856160         297.553713     
160            25.827034      1.184301       10.373819      906620         297.241549     
161            27.658319      2.364822       12.204451      454020         297.030098     
162            23.964165      2.025301       22.056751      530140         296.928706     
163            25.898926      3.416123       16.484140      314290         296.220535     
164            27.461071      1.868588       19.400505      574600         295.788424     
165            27.129002      1.109745       4.700064       967530         295.440992     
166            26.179941      4.608212       18.750843      232980         293.471181     
167            27.900455      1.088902       8.884981       986050         293.058075     
168            27.595469      1.276915       9.772495       840860         292.041196     
169            26.528946      1.936112       13.578321      554560         291.379491     
170            29.064371      1.926378       4.050210       557360         291.157250     
171            27.659719      1.090085       4.836991       984980         290.958608     
172            26.583971      1.876297       18.961376      572240         290.823596     
173            27.237560      3.443718       7.541779       311770         290.300372     
174            26.124933      2.626209       20.568445      408830         289.645760     
175            28.172382      1.014756       18.500286      1058100        288.922451     
176            29.590151      3.430818       7.361396       312940         288.414326     
177            27.467009      1.132093       17.131271      948430         287.803388     
178            28.392057      12.036332      13.699158      89180          287.625714     
179            26.584742      1.120750       2.180108       958030         287.352119     
180            27.236183      1.025779       4.285786       1046730        285.426330     
181            26.972967      1.015506       17.411671      1057320        285.087037     
182            25.974037      1.581530       16.761517      678900         284.817481     
183            22.852726      1.565534       10.223742      685840         284.631322     
184            22.178463      14.935447      12.047633      71870          284.484948     
185            25.611158      4.206041       11.490507      255260         284.404698     
186            26.652275      1.583628       18.081474      678000         284.296615     
187            27.291866      1.073380       16.252617      1000310        283.979397     
188            26.364397      2.866397       11.832541      374570         282.935352     
189            29.142546      4.595137       15.446954      233640         282.857433     
190            29.764711      1.754624       11.297583      611920         282.198944     
191            24.818493      2.920596       11.400810      367620         279.693307     
192            27.916086      1.672474       18.396389      641980         279.204077     
193            29.724514      2.449901       3.553979       438250         278.860422     
194            26.114019      1.033273       6.389884       1039140        278.414582     
195            26.417566      1.231544       18.219097      871840         277.737013     
196            28.336786      2.184941       21.225021      491400         277.215395     
197            29.154333      1.356918       12.637330      791280         276.613681     
198            26.304527      1.749431       18.948982      613740         276.422709     
199            26.957834      1.940941       22.917900      553180         276.181343     
200            27.615271      1.875376       15.970970      572520         275.707331     
